title,type,titlereleased,rating,actors,director,category,imdb,runtime,description,language,actor_0,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,actor_11,actor_12,actor_13,actor_14,actor_15,actor_16,actor_17,actor_18,actor_19,actor_20,director_0,director_1,director_2,director_3,director_4,director_5,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7
Won't You Be My Neighbor? ,Movie,2018,PG-13,"Fred Rogers, Joanne Rogers, John Rogers",Morgan Neville,"Documentary, Biography",,95 min,"When Fred Rogers found his calling in television, his unassuming children's show was beloved by generations for his kindness, empathy and understanding.",English,Fred Rogers,Joanne Rogers,John Rogers,,,,,,,,,,,,,,,,,,,Morgan Neville,,,,,,Documentary,Biography,,,,,,
Word Party: Happy Birthday,Movie,2017,TV-Y,,,,,2 minutes,"It's your birthday, and the babies are so excited! Franny, Bailey, Kip and Lulu are here to sing a very special song just for you.",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Words Bubble Up Like Soda Pop,Movie,2020,TV-G,"Somegorô Ichikawa, Hana Sugisaki, Megumi Han",Kyohei Ishiguro,"Animation, Drama, Romance",,87 min,"After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer.",Japanese,Somegorô Ichikawa,Hana Sugisaki,Megumi Han,,,,,,,,,,,,,,,,,,,Kyohei Ishiguro,,,,,,Animation,Drama,Romance,,,,,
Work It ,Movie,2020,TV-14,"Keiynan Lonsdale, Sabrina Carpenter, Jordan Fisher, Drew Ray Tanner",Laura Terruso,"Comedy, Music",,93 min,A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,English,Keiynan Lonsdale,Sabrina Carpenter,Jordan Fisher,Drew Ray Tanner,,,,,,,,,,,,,,,,,,Laura Terruso,,,,,,Comedy,Music,,,,,,
World Famous Lover,Movie,2020,TV-MA,"Raashi Khanna, Vijay Deverakonda, Izabelle Leite, Catherine Tresa",Kranthi Madhav,,4.6,147 minutes,"When his frustrated girlfriend decides to leave him, a struggling writer gets down to work on stories of romance he hopes will win her back.",Telugu,Raashi Khanna,Vijay Deverakonda,Izabelle Leite,Catherine Tresa,,,,,,,,,,,,,,,,,,Kranthi Madhav,,,,,,,,,,,,,
Worth ,Movie,2020,PG-13,"Michael Keaton, Stanley Tucci, Amy Ryan",Sara Colangelo,"Biography, Drama, History",,118 min,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",English,Michael Keaton,Stanley Tucci,Amy Ryan,,,,,,,,,,,,,,,,,,,Sara Colangelo,,,,,,Biography,Drama,History,,,,,
Wyatt Cenac: Brooklyn,Movie,2014,TV-MA,Wyatt Cenac,Wyatt Cenac,,6.3,67 minutes,Wyatt Cenac heads to Brooklyn to share his observations on the borough that's the backdrop for three sitcoms and a reality show about cheesemongers.,English,Wyatt Cenac,,,,,,,,,,,,,,,,,,,,,Wyatt Cenac,,,,,,,,,,,,,
Xenos ,Movie,2014,TV-MA,,Mahdi Fleifel,"Documentary, Short, Crime",,13 min,Award-winning filmmaker Mahdi Fleifel looks at the harsh lives of young Palestinian men who were smuggled into Athens in search of a new beginning.,Arabic,,,,,,,,,,,,,,,,,,,,,,Mahdi Fleifel,,,,,,Documentary,Short,Crime,,,,,
Xico's Journey ,Movie,2020,TV-Y7,"Verónica Alva, Luis Angel Jaramillo, Pablo Gama Iturrarán, Verónica Castro",Eric Cabello,Animation,,85 min,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico.",Spanish,Verónica Alva,Luis Angel Jaramillo,Pablo Gama Iturrarán,Verónica Castro,,,,,,,,,,,,,,,,,,Eric Cabello,,,,,,Animation,,,,,,,
XOXO,Movie,2016,TV-MA,"Sarah Hyland, Graham Phillips, Chris D'Elia, Hayley Kiyoko",Christopher Louie,,5.3,92 minutes,"The lives of a budding DJ, his loyal pal, a hopeless romantic, a jaded has-been and a troubled couple intersect at an electronic dance music festival.",English,Sarah Hyland,Graham Phillips,Chris D'Elia,Hayley Kiyoko,,,,,,,,,,,,,,,,,,Christopher Louie,,,,,,,,,,,,,
Xtreme ,Movie,2021,TV-MA,"Óscar Jaenada, Sergio Peris-Mencheta, Óscar Casas, Luis Zahera",Daniel Benmayor,"Action, Adventure, Crime, Fantasy, Thriller",,112 mins,"In this fast-paced and action-packed thriller, a retired hitman -- along with his sister and a troubled teen -- takes revenge on his lethal stepbrother.",Spanish,Óscar Jaenada,Sergio Peris-Mencheta,Óscar Casas,Luis Zahera,,,,,,,,,,,,,,,,,,Daniel Benmayor,,,,,,Action,Adventure,Crime,Fantasy,Thriller,,,
XV: Beyond the Tryline,Movie,2016,TV-14,,Pierre Deschamps,,6.5,91 minutes,"Set against the 2015 Rugby World Cup, this documentary captures the allure of rugby as told by fans, players and others who have touched the game.",English,,,,,,,,,,,,,,,,,,,,,,Pierre Deschamps,,,,,,,,,,,,,
Yaksha: Ruthless Operations ,Movie,2022,TV-14,"Sol Kyung-gu, Park Hae-soo, Hiroyuki Ikeuchi",Hyeon Na,"Action, Crime, Thriller",,125 min,"On assignment in a perilous city to inspect a Black Ops team and its notorious leader, an upstanding prosecutor steps into a deadly war between spies.",Korean,Sol Kyung-gu,Park Hae-soo,Hiroyuki Ikeuchi,,,,,,,,,,,,,,,,,,,Hyeon Na,,,,,,Action,Crime,Thriller,,,,,
Yara ,Movie,2021,TV-14,"Alessio Boni, Isabella Ragonese, Thomas Trabacchi",Marco Tullio Giordana,"Crime, Thriller",,96 mins,A determined prosecutor becomes consumed with the case of a missing 13-year-old and goes to extreme lengths to get to the truth. Based on a real case.,Italian,Alessio Boni,Isabella Ragonese,Thomas Trabacchi,,,,,,,,,,,,,,,,,,,Marco Tullio Giordana,,,,,,Crime,Thriller,,,,,,
Yeh Ballet,Movie,2020,TV-MA,"Julian Sands, Manish Chauhan, Achintya Bose, Jim Sarbh",Sooni Taraporevala,,7.6,117 minutes,"Discovered by an eccentric ballet master, two gifted Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",Hindi,Julian Sands,Manish Chauhan,Achintya Bose,Jim Sarbh,,,,,,,,,,,,,,,,,,Sooni Taraporevala,,,,,,,,,,,,,
YES DAY ,Movie,2021,PG,"Jennifer Garner, June Diane Raphael, Jenna Ortega, Edgar Ramírez",Miguel Arteta,"Comedy, Family",,86 min,A mom and dad who usually say no decide to say yes to their kids' wildest requests -- with a few ground rules -- on a whirlwind day of fun and adventure.,English,Jennifer Garner,June Diane Raphael,Jenna Ortega,Edgar Ramírez,,,,,,,,,,,,,,,,,,Miguel Arteta,,,,,,Comedy,Family,,,,,,
Yes Man,Movie,2008,PG-13,"Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins",Peyton Reed,,6.8,104 minutes,"After a bitter divorce, a bank drone falls under the sway of a self-help guru who urges him to say yes to everything that comes his way for a year.",English,Jim Carrey,Zooey Deschanel,Bradley Cooper,John Michael Higgins,,,,,,,,,,,,,,,,,,Peyton Reed,,,,,,,,,,,,,
Yodha ,Movie,1991,TV-14,"Sunny Deol, Sanjay Dutt, Sangeeta Bijlani",Rahul Rawail,"Action, Drama",,142 min,"When his journalist father is killed for exposing an esteemed judge as a criminal, an upstanding lawyer makes new enemies and allies as he seeks revenge.",Hindi,Sunny Deol,Sanjay Dutt,Sangeeta Bijlani,,,,,,,,,,,,,,,,,,,Rahul Rawail,,,,,,Action,Drama,,,,,,
Yoo Byung Jae: Discomfort Zone,Movie,2018,TV-MA,Yoo Byung Jae,Y. Joon Chung,,4.8,54 minutes,Daring comedian Yoo Byung-jae connects criticism he's received from the general public to some of the most touchy issues in current Korean society.,Korean,Yoo Byung Jae,,,,,,,,,,,,,,,,,,,,,Y. Joon Chung,,,,,,,,,,,,,
Yoo Byung Jae: Too Much Information,Movie,2018,TV-MA,Yoo Byung Jae,Yoo Byung Jae,,5.3,63 minutes,"""Saturday Night Live Korea"" writer-turned-comedian Yoo Byung-jae lays bare his childhood memories and philosophy on sex in his first stand-up venture.",Korean,Yoo Byung Jae,,,,,,,,,,,,,,,,,,,,,Yoo Byung Jae,,,,,,,,,,,,,
You Are My Home ,Movie,2017,TV-G,"Alyssa Milano, Angel Parker, Cristián de la Fuente, Eva Ariel Binder, Joel Steingold",Amanda Raymond,"Family, Christmas, Drama",,92 mins,"After becoming separated from her family, a young girl finds herself in the care of a heartbroken woman who faces her own struggles.",English,Alyssa Milano,Angel Parker,Cristián de la Fuente,Eva Ariel Binder,Joel Steingold,,,,,,,,,,,,,,,,,Amanda Raymond,,,,,,Family,Christmas,Drama,,,,,
You Can Do It Dear! ,Movie,2022,TV-PG,Haldun Dormen,Selçuk Metin,Documentary,,129 mins,"Throughout his impressive acting career, Haldun Dormen inspired and encouraged his theater students to work hard and follow their dreams.",Turkish,Haldun Dormen,,,,,,,,,,,,,,,,,,,,,Selçuk Metin,,,,,,Documentary,,,,,,,
You Get Me,Movie,2017,TV-MA,"Bella Thorne, Halston Sage, Taylor John Smith, Nash Grier",Brent Bonacorso,,4.6,89 minutes,"After a one-night stand, Holly develops a dangerous obsession with Tyler and transfers to his high school, desperate to keep their ""romance"" alive.",English,Bella Thorne,Halston Sage,Taylor John Smith,Nash Grier,,,,,,,,,,,,,,,,,,Brent Bonacorso,,,,,,,,,,,,,
You vs. Wild: Out Cold ,Movie,2021,TV-G,Bear Grylls,Ben Simms,Adventure,,25 min,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",English,Bear Grylls,,,,,,,,,,,,,,,,,,,,,Ben Simms,,,,,,Adventure,,,,,,,
Your Name Engraved Herein ,Movie,2020,TV-MA,"Jean-François Blanchard, Akira Chen, Edward Chen, David Hao-Chi Chiu",Kuang-Hui Liu,Romance,,118 min,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",Mandarin,Jean-François Blanchard,Akira Chen,Edward Chen,David Hao-Chi Chiu,,,,,,,,,,,,,,,,,,Kuang-Hui Liu,,,,,,Romance,,,,,,,
Your Son,Movie,2018,TV-MA,"José Coronado, Ana Wagener, Asia Ortega Leiva, Pol Monen",Miguel Ángel Vivas,,6.1,103 minutes,"After his son is brutally beaten outside a nightclub, a surgeon takes the law into his own hands and seeks vengeance against the perpetrators.",Spanish,José Coronado,Ana Wagener,Asia Ortega Leiva,Pol Monen,,,,,,,,,,,,,,,,,,Miguel Ángel Vivas,,,,,,,,,,,,,
"Yours Sincerely, Kanan Gill",Movie,2020,TV-MA,Kanan Gill,Neville Shah,,7.4,72 minutes,"Revisiting life goals set in a letter written as a teen to his future self, comedian Kanan Gill reports back on if he's lived up to his own expectations.",English,Kanan Gill,,,,,,,,,,,,,,,,,,,,,Neville Shah,,,,,,,,,,,,,
Youth v Gov ,Movie,2020,TV-14,"James Hansen, Julia Olson",Christi Cooper,Documentary,,110 min,This documentary follows the journey of 21 young plaintiffs suing the US government for its actions in creating the climate crisis.,English,James Hansen,Julia Olson,,,,,,,,,,,,,,,,,,,,Christi Cooper,,,,,,Documentary,,,,,,,
You've Got This,Movie,2020,TV-MA,"Mauricio Ochmann, Esmeralda Pimentel, Matteo Giannini, Regina Reynoso, Juan Martín Jauregui, Tato Alexander", Salvador Espinosa,"Romantic, Comedy",,101 mins,An ad creative and a successful exec have a great marriage -- until he wants to be a dad just as her star is rising. Then he brings someone new home.,Spanish,Mauricio Ochmann,Esmeralda Pimentel,Matteo Giannini,Regina Reynoso,Juan Martín Jauregui,Tato Alexander,,,,,,,,,,,,,,,, Salvador Espinosa,,,,,,Romantic,Comedy,,,,,,
Yucatán,Movie,2018,TV-MA,"Luis Tosar, Rodrigo de la Serna, Joan Pera, Stephanie Cayo",Daniel Monzón,,5.4,130 minutes,Competing con artists attempt to creatively and ruthlessly swindle a fatherly lottery winner while on a lively cruise from Spain to Mexico.,Spanish,Luis Tosar,Rodrigo de la Serna,Joan Pera,Stephanie Cayo,,,,,,,,,,,,,,,,,,Daniel Monzón,,,,,,,,,,,,,
Yuri Marçal: Honest Mistake ,Movie,2022,TV-MA,Yuri Marçal,"Fabio Ock, Riccardo Melchiades","Stand-up, Comedy",,53 mins,"From sharing his unique views on family, race and religion to detailing an online rift that blew up, Brazilian comedian Yuri Marçal isn't holding back.",Portuguese,Yuri Marçal,,,,,,,,,,,,,,,,,,,,,Fabio Ock,Riccardo Melchiades,,,,,Stand-up,Comedy,,,,,,
Yuva,Movie,2004,TV-14,"Ajay Devgn, Abhishek Bachchan, Vivek Oberoi, Esha Deol",Mani Ratnam,,7.4,160 minutes,"An accident on a bridge ties together three young men from different social classes, sparking a course of events that will forever alter their lives.",Hindi,Ajay Devgn,Abhishek Bachchan,Vivek Oberoi,Esha Deol,,,,,,,,,,,,,,,,,,Mani Ratnam,,,,,,,,,,,,,
Zach Galifianakis: Live at the Purple Onion,Movie,2006,TV-MA,"Zach Galifianakis, Brian Unger",Michael Blieden,,7.4,61 minutes,"The unorthodox, piano-playing stand-up star Zach Galifianakis makes a splash on the scene and serves up a healthy dose of his signature wit.",English,Zach Galifianakis,Brian Unger,,,,,,,,,,,,,,,,,,,,Michael Blieden,,,,,,,,,,,,,
Zathura ,Movie,2005,PG,"Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart",Jon Favreau,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",,101 min,"A mysterious game sends two brothers flying into space, where they must reach the planet Zathura -- or be trapped in galactic limbo forever.",English,Jonah Bobo,Josh Hutcherson,Dax Shepard,Kristen Stewart,,,,,,,,,,,,,,,,,,Jon Favreau,,,,,,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi,,
Zero,Movie,2018,TV-14,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohammed Zeeshan Ayyub",Aanand Rai,,5.5,159 minutes,"Through his relationships with two wildly different women, a vertically challenged bachelor with a larger-than-life persona must discover his purpose.",Hindi,Shah Rukh Khan,Anushka Sharma,Katrina Kaif,Mohammed Zeeshan Ayyub,,,,,,,,,,,,,,,,,,Aanand Rai,,,,,,,,,,,,,
Zero Dark Thirty ,Movie,2012,R,"Jessica Chastain, Joel Edgerton, Chris Pratt",Kathryn Bigelow,"Drama, History, Thriller",,157 min,"In the wake of the 9/11 terrorist attacks, the decade-long hunt for Osama bin Laden drives a determined CIA agent to follow her intuition to find him.",English,Jessica Chastain,Joel Edgerton,Chris Pratt,,,,,,,,,,,,,,,,,,,Kathryn Bigelow,,,,,,Drama,History,Thriller,,,,,
Zero Hour,Movie,2018,TV-MA,"Alexx Ekubo, Richard Mofe-Damijo, Rahama Sadau, Ali Nuhu",Robert O. Peters,,,88 minutes,"After his father passes, the heir to a retail empire returns to take over the family business but faces a controversy involving laundering and murder.",English,Alexx Ekubo,Richard Mofe-Damijo,Rahama Sadau,Ali Nuhu,,,,,,,,,,,,,,,,,,Robert O. Peters,,,,,,,,,,,,,
Zero to Hero ,Movie,2021,TV-14,"Louis Cheung, Siu-Ho Chin, Chung-Hang Leung",Chi-Man Wan,"Biography, Sport",,102 min,This film chronicles record-breaking Paralympian So Wa-wai's relationship with his mother as they overcome hurdles in their lives. Based on a true story.,Cantonese,Louis Cheung,Siu-Ho Chin,Chung-Hang Leung,,,,,,,,,,,,,,,,,,,Chi-Man Wan,,,,,,Biography,Sport,,,,,,
Zion,Movie,2018,TV-PG,Zion Clark,Floyd Russ,,7.2,11 minutes,"Born without legs and stuck in foster care for years, teen Zion Clark finds his calling when he pursues competitive wrestling. A documentary short.",English,Zion Clark,,,,,,,,,,,,,,,,,,,,,Floyd Russ,,,,,,,,,,,,,
Zone 414 ,Movie,2021,R,"Guy Pearce, Matilda Anna Ingrid Lutz, Jonathan Aris",Andrew Baird,"Sci-Fi, Thriller",,98 min,"As a private eye searches for the missing daughter of a genius inventor, he learns a disturbing truth about the man's seedy ""city of robots.""",English,Guy Pearce,Matilda Anna Ingrid Lutz,Jonathan Aris,,,,,,,,,,,,,,,,,,,Andrew Baird,,,,,,Sci-Fi,Thriller,,,,,,
Zozo ,Movie,2005,TV-MA,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos",Josef Fares,"Drama, Family, War",,105 min,"When Lebanon's Civil War deprives Zozo of his family, he's left with grief and little means as he escapes to Sweden in search of his grandparents.",Arabic,Imad Creidi,Antoinette Turk,Elias Gergi,Carmen Lebbos,,,,,,,,,,,,,,,,,,Josef Fares,,,,,,Drama,Family,War,,,,,
ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,Movie,2019,TV-MA,,Sam Dunn,,7.4,90 minutes,This documentary delves into the mystique behind the blues-rock trio and explores how the enigmatic band created their iconic look and sound.,English,,,,,,,,,,,,,,,,,,,,,,Sam Dunn,,,,,,,,,,,,,
"""Sr.""",Movie,2022,R,"Paul Thomas Anderson, Alan Arkin, Mezi Atwood",Chris Smith,Documentary,,89 min,Robert Downey Jr. pays tribute to his late father in this documentary chronicling the life and eclectic career of pioneering filmmaker Robert Downey Sr.,English,Paul Thomas Anderson,Alan Arkin,Mezi Atwood,,,,,,,,,,,,,,,,,,,Chris Smith,,,,,,Documentary,,,,,,,
'76 ,Movie,2016,TV-PG,"Efetobore Afatakpa, Tunde Alabi, Bisi Ariyo",Izu Ojukwu,"Drama, Romance",,118 min,"When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.",English,Efetobore Afatakpa,Tunde Alabi,Bisi Ariyo,,,,,,,,,,,,,,,,,,,Izu Ojukwu,,,,,,Drama,Romance,,,,,,
'83 ,Movie,2021,TV-14,"Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin",Kabir Khan,"Biography, Drama, History",,162 min,"Amid doubt and derision, indomitable captain Kapil Dev leads India's struggling cricket team to make history at the 1983 World Cup. Based on true events.",Hindi,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,,,,,,,,,,,,,,,,,,,Kabir Khan,,,,,,Biography,Drama,History,,,,,
"¡Ay, mi madre!",Movie,2019,TV-MA,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso",Frank Ariza,,3.8,81 minutes,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",Spanish,Estefanía de los Santos,Secun de la Rosa,Terele Pávez,María Alfonsa Rosso,,,,,,,,,,,,,,,,,,Frank Ariza,,,,,,,,,,,,,
#ABTalks ,TV,2018–,TV-PG,"Anas Marwah, Ahad Raza Mir",,Talk Show,,76 mins,"In this YouTube show, Emirati entrepreneur and interviewer Anas Bukhash hosts candid one-on-ones with various A-listers, leading to daring revelations.",English,Anas Marwah,Ahad Raza Mir,,,,,,,,,,,,,,,,,,,,,,,,,,Talk Show,,,,,,,
#blackAF,TV,2020,TV-MA,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton",,,6.8,,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",English,Kenya Barris,Rashida Jones,Iman Benson,Genneya Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Un)Well ,TV,2020–,TV-MA,,,"Documentary, Reality-TV",6.4,,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,Documentary,Reality-TV,,,,,,
100 Days My Prince ,TV,2018–,TV-14,"Kyung-soo Do, Ji-Hyun Nam, Sung-ha Jo, Han-chul Jo",,"Comedy, History, Romance",,75 min,"Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.",Korean,Kyung-soo Do,Ji-Hyun Nam,Sung-ha Jo,Han-chul Jo,,,,,,,,,,,,,,,,,,,,,,,,Comedy,History,Romance,,,,,
100 Humans,TV,2020,TV-14,"Zainab Johnson, Sammy Obeid, Alie Ward",,,5.6,,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",English,Zainab Johnson,Sammy Obeid,Alie Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Reasons Why,TV,2017,TV-MA,"Dylan Minnette, Katherine Langford, Alisha Boe, Brandon Flynn",,,7.8,,Secrets. Lies. Revenge. Everyone at Liberty High has something to hide ... and the truth is about to come out.,English,Dylan Minnette,Katherine Langford,Alisha Boe,Brandon Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Reasons Why: Beyond the Reasons,TV,2017,TV-MA,"Brian Yorkey, Alisha Boe, Dylan Minnette, Katherine Langford",,,7.8,29 minutes,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",English,Brian Yorkey,Alisha Boe,Dylan Minnette,Katherine Langford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 ,TV,2022–,TV-MA,"Isabella Wei, Anton Lesser, Emily Beecham",,"Drama, History, Horror",,56S min,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers.",English,Isabella Wei,Anton Lesser,Emily Beecham,,,,,,,,,,,,,,,,,,,,,,,,,Drama,History,Horror,,,,,
1983,TV,2018,TV-MA,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra",,,6.8,,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",Polish,Robert Więckiewicz,Maciej Musiał,Michalina Olszańska,Andrzej Chyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,TV,2019,TV-MA,,Diego Enrique Osorno,,8.8,,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",Spanish,,,,,,,,,,,,,,,,,,,,,,Diego Enrique Osorno,,,,,,,,,,,,,
2020 ,TV,2021–,TV-14,"Nadine Nassib Njeim, Kosai Khauli, Fadi Abi Samra, Carmen Lebbos, Randa Kaadi, Fady Ibrahim ",,"Crime, Drama, Thriller",,,"Seeking personal revenge, an investigator goes undercover to capture a wanted drug lord, but her mission gets complicated by unwanted feelings.",Arabic,Nadine Nassib Njeim,Kosai Khauli,Fadi Abi Samra,Carmen Lebbos,Randa Kaadi,Fady Ibrahim ,,,,,,,,,,,,,,,,,,,,,,Crime,Drama,Thriller,,,,,
28 Days Haunted ,TV,2022–,TV-14,,,"Horror, Reality-TV",,,Three teams each spend 28 days in some of America's most haunted locations for a paranormal experiment based on the theories of Ed and Lorraine Warren.,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,Reality-TV,,,,,,
3%,TV,2016,TV-MA,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente",,,7.4,,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",Portuguese,João Miguel,Bianca Comparato,Michel Gomes,Rodolfo Valente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Below: Tales of Arcadia,TV,2018,TV-Y7,"Tatiana Maslany, Diego Luna, Nick Offerman, Alon Aboutboul",,,7.8,,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",English,Tatiana Maslany,Diego Luna,Nick Offerman,Alon Aboutboul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 Days of Darkness ,TV,2022–,TV-MA,"Claudia Di Girólamo, Pablo Macaya, Daniel Alcaíno, Aline Küppenheim, Julia Lübbert, Montserrat Lira","Gaspar Antillo, Claudia Huaiquimilla","Crime, Drama, Mystery",,47 mins,"In a town in Chile, a woman leads a frantic search to find her missing sister amid a media storm and the police investigation. Inspired by a true case.",Spanish,Claudia Di Girólamo,Pablo Macaya,Daniel Alcaíno,Aline Küppenheim,Julia Lübbert,Montserrat Lira,,,,,,,,,,,,,,,,Gaspar Antillo,Claudia Huaiquimilla,,,,,Crime,Drama,Mystery,,,,,
44 Cats,TV,2018,TV-Y7,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder",,,,,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",English,Sarah Natochenny,Suzy Myers,Simona Berman,Erica Schroeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 rpm,TV,2019,TV-MA,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde",,,7.3,,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",Spanish,Carlos Cuevas,Guiomar Puerta,Iván Marcos,Israel Elejalde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50M2,TV,2021–,TV-MA,"Engin Öztürk, Kürşat Alnıaçık, Cengiz Bozkurt, Aybüke Pusat, Tolga Tekin, Özgür Emre Yıldırım",,Thrillers,,51 mins,"Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood.",Turkish,Engin Öztürk,Kürşat Alnıaçık,Cengiz Bozkurt,Aybüke Pusat,Tolga Tekin,Özgür Emre Yıldırım,,,,,,,,,,,,,,,,,,,,,,Thrillers,,,,,,,
60 Days In,TV,2016–,TV-14,"Zachary Holland Baker, Monalisa Johnson, Tami Ferraiuolo, Barbra Roylance Williams",,Reality-TV,,42 min,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",English,Zachary Holland Baker,Monalisa Johnson,Tami Ferraiuolo,Barbra Roylance Williams,,,,,,,,,,,,,,,,,,,,,,,,Reality-TV,,,,,,,
7 Days Out,TV,2018,TV-PG,,,,6.8,,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72 Dangerous Animals: Asia,TV,2018,TV-14,Bob Brisbane,,,6.6,,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",English,Bob Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72 Dangerous Animals: Latin America,TV,2017,TV-14,Bob Brisbane,,,6.8,,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",English,Bob Brisbane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7SEEDS,TV,2019,TV-MA,"Nao Toyama, Jun Fukuyama, Katsuyuki Konishi, Yoko Soumi",,,6.3,,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",English,Nao Toyama,Jun Fukuyama,Katsuyuki Konishi,Yoko Soumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800 Meters,TV,2022–,TV-MA,,Elías León,Documentary,,,"In 2017, Spain suffered two terrorist attacks perpetrated by young members of its community. How could this happen? This incisive series investigates.",Spanish,,,,,,,,,,,,,,,,,,,,,,Elías León,,,,,,Documentary,,,,,,,
A Boy Name Flora A,TV,2017,TV-MA,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei",,,7.8,,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,Korean,Crowd Lu,Tsai Chen-nan,Lotus Wang,Fan Chu-Mei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
