title,type,titlereleased,rating,actors,director,category,imdb,runtime,description,language,actor_0,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,actor_11,actor_12,actor_13,actor_14,actor_15,actor_16,actor_17,actor_18,actor_19,actor_20,director_0,director_1,director_2,director_3,director_4,director_5,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7
Guatemala: Heart of the Mayan World,Movie,2019,TV-G,Christian Morales,"Luis Ara, Ignacio Jaunsolo",,,66 minutes,"From Sierra de las Minas to Esquipulas, explore Guatemala's cultural and geological wealth, including ancient Mayan cities and other natural wonders.",Spanish,Christian Morales,,,,,,,,,,,,,,,,,,,,,Luis Ara,Ignacio Jaunsolo,,,,,,,,,,,,
Güeros ,Movie,2014,TV-MA,"Tenoch Huerta, Sebastián Aguirre, Ilse Salas",Alonso Ruizpalacios,"Comedy, Drama",,106 min,"After teenage Tomás shows up at the Mexico City apartment his brother Sombra shares with Santos, the three set off in search of a former rock star.",Spanish,Tenoch Huerta,Sebastián Aguirre,Ilse Salas,,,,,,,,,,,,,,,,,,,Alonso Ruizpalacios,,,,,,Comedy,Drama,,,,,,
Guest House ,Movie,2020,R,"Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane",Sam Macaroni,Comedy,,84 min,The only downside to a young couple's new dream home -- and fresh start -- is the nightmare of the raucous houseguest in back who refuses to leave.,English,Pauly Shore,Mike Castle,Aimee Teegarden,Billy Zane,,,,,,,,,,,,,,,,,,Sam Macaroni,,,,,,Comedy,,,,,,,
Guillermo del Toro's Pinocchio ,Movie,2022,PG,"Gregory Mann, Ewan McGregor, Ron Perlman","Guillermo del Toro, Mark Gustafson","Animation, Drama, Family",,117 min,Oscar-winning filmmaker Guillermo del Toro reinvents the classic story of a wooden puppet brought to life in this stunning stop-motion musical tale.,English,Gregory Mann,Ewan McGregor,Ron Perlman,,,,,,,,,,,,,,,,,,,Guillermo del Toro,Mark Gustafson,,,,,Animation,Drama,Family,,,,,
Guillermo del Toro's Pinocchio: Handcarved Cinema ,Movie,2022,TV-PG,,,"Documentary, Making-of",,36 mins,"With mesmerizing footage and time lapses of animators at work, this behind-the-scenes special captures the artistry of a unique tale years in the making.",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,Documentary,Making-of,,,,,,
Guillermo Vilas: Settling the Score ,Movie,2020,TV-14,"Boris Becker, Björn Borg, Roger Federer, Rod Laver",Matías Gueilburt,"Documentary, Biography, Sport",,94 min,"An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s.",Spanish,Boris Becker,Björn Borg,Roger Federer,Rod Laver,,,,,,,,,,,,,,,,,,Matías Gueilburt,,,,,,Documentary,Biography,Sport,,,,,
Guilty,Movie,2020,TV-MA,"Kiara Advani, Akansha Ranjan Kapoor, Gurfateh Pirzada, Taher Shabbir",Ruchi Narain,,5.6,119 minutes,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",Hindi,Kiara Advani,Akansha Ranjan Kapoor,Gurfateh Pirzada,Taher Shabbir,,,,,,,,,,,,,,,,,,Ruchi Narain,,,,,,,,,,,,,
Guilty,Movie,2015,TV-14,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",Meghna Gulzar,,8.2,132 minutes,"When a teen and her family's hired servant turn up dead, inept police bungle the inquiry and wind up fingering a controversial prime suspect.",Hindi,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,,,,,,,,,,,,,,,,,,Meghna Gulzar,,,,,,,,,,,,,
Gumrah,Movie,1993,TV-14,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy",Mahesh Bhatt,,6.3,149 minutes,"Jailed for drug trafficking while searching for the dad she's never met, a singer gets unlikely support from a crook whose love she has long rejected.",Hindi,Sanjay Dutt,Sridevi,Anupam Kher,Rahul Roy,,,,,,,,,,,,,,,,,,Mahesh Bhatt,,,,,,,,,,,,,
Gun City,Movie,2018,TV-MA,"Luis Tosar, Michelle Jenner, Vicente Romero, Manolo Solo",Dani de la Torre,,6.3,126 minutes,"In 1921 Barcelona, amid unrest between anarchists and the police, a cop plays both sides to learn who stole army weapons that could ignite a civil war.",Spanish,Luis Tosar,Michelle Jenner,Vicente Romero,Manolo Solo,,,,,,,,,,,,,,,,,,Dani de la Torre,,,,,,,,,,,,,
