title,type,titlereleased,image_landscape,image_portrait,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,language
Animal World,Movie,2018,https://occ-0-116-114.1.nflxso.net/art/7a6c7/4aa03d10467874f29f6d680122778a386817a6c7.jpg,https://occ-0-116-114.1.nflxso.net/art/7a6c7/4aa03d10467874f29f6d680122778a386817a6c7.jpg,TV-MA,SuperHD,"Li Yifeng, Zhou Dongyu, Michael Douglas, Bingkun Cao",Han Yan,,6.5/10,130 minutes,81004470,2018-09-27,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",Mandarin
Animals on the Loose: A You vs. Wild Movie ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/animalsonthelooseayouvswildmovie.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/animalsonthelooseayouvswildmovie.jpeg,TV-PG,SuperHD,Bear Grylls,Ben Simms,"Adventure, Reality-TV",,90 min,81205737,2021-02-16,"When wild animals escape from a sanctuary, Bear Grylls -- and you -- must pursue them and secure their protective habitat. An interactive special.",English
Animas,Movie,2018,https://occ-0-1723-1722.1.nflxso.net/art/2c35e/71983122db1e9f5942659bbf6f9099868662c35e.jpg,https://occ-0-1723-1722.1.nflxso.net/art/2c35e/71983122db1e9f5942659bbf6f9099868662c35e.jpg,TV-MA,SuperHD,"Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato","Laura Alvea, José Ortuño",,4.8/10,87 minutes,80239629,2019-01-25,A teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.,Spanish
Anjaam ,Movie,1994,https://www.whats-on-netflix.com/wp-content/uploads/covers/anjaam.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/anjaam.jpeg,TV-14,,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand",Rahul Rawail,"Drama, Thriller",,170 min,81488267,2021-09-02,"A wealthy industrialist's dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",Hindi
Anjelah Johnson: Not Fancy,Movie,2015,https://occ-0-114-116.1.nflxso.net/art/88a46/79ea3ef96a5dfeb4d544bcf444d7d5ec04188a46.jpg,https://occ-0-114-116.1.nflxso.net/art/88a46/79ea3ef96a5dfeb4d544bcf444d7d5ec04188a46.jpg,TV-14,SuperHD,Anjelah Johnson-Reyes,Jay Karas,,5.8/10,63 minutes,80046779,2015-10-02,"The actress, comedian and YouTube sensation riffs on everything from nail salons and Gypsies to Mexican moms and super-sleuthing Liam Neeson.",English
Ankahi Kahaniya ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/ankahikahaniya.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/ankahikahaniya.jpeg,TV-14,,"Kunal Kapoor, Zoya Hussain, Abhishek Banerjee","Abhishek Chaubey, Saket Chaudhary, Ashwiny Iyer Tiwari","Drama, Romance",,110 min,81088080,2021-09-17,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",Hindi
Ankhon Dekhi,Movie,2013,https://occ-0-116-114.1.nflxso.net/art/45855/d5c89fbe2a13df50ff4f997062d43e07b6a45855.jpg,https://occ-0-116-114.1.nflxso.net/art/45855/d5c89fbe2a13df50ff4f997062d43e07b6a45855.jpg,NR,SuperHD,"Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur",Rajat Kapoor,"Dramas
                  Independent Movies
                  International Movies",6.0/10,104 minutes,70307997,2017-07-01,"After an incident involving his daughter, a middle-aged man's resolution to believe only what he sees blinds him to the world outside his experience.",
Annaatthe ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/annaatthe.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/annaatthe.jpeg,TV-14,,"Rajinikanth, Meena, Kushboo",Siva,"Action, Drama",,163 min,81427795,2021-11-25,"A local leader and his younger sister are inseparable, but as they begin to plan for her wedding, arising complications threaten to rupture their bond.",Tamil / Hindi / Telegu / Malayalam / Kannada
Anne+: The Film ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/annethefilm.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/annethefilm.jpeg,TV-MA,,"Hanna van Vliet, Jouman Fattal, Thorn Roos de Vries",Valerie Bisscheroux,Drama,,94 min,81337079,2022-02-11,"Under pressure to finish her novel and move to Montreal for her relationship, a queer 20-something in Amsterdam searches for what she wants in life.",Dutch
Anon,Movie,2018,https://occ-0-114-116.1.nflxso.net/art/beb03/e00001f031d2290c6c055b4cc870f52bb4bbeb03.jpg,https://occ-0-114-116.1.nflxso.net/art/beb03/e00001f031d2290c6c055b4cc870f52bb4bbeb03.jpg,TV-MA,SuperHD,"Clive Owen, Amanda Seyfried, Colm Feore, Sonya Walger",Andrew Niccol,,6.1/10,100 minutes,80195964,2018-05-04,"In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records.",English
Anonymously Yours ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/anonymouslyyours.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/anonymouslyyours.jpeg,TV-14,,"Annie Cabello, Ralf, Estefi Merelles, Harold Azuara, Alicia Vélez",María Torres,"Romantic, Teen",,101 mins,81332722,2021-12-10,"After an accidental text message turns into a digital friendship, Vale and Alex start crushing on each other without realizing they've met in real life.",Spanish
Ante Sundaraniki ,Movie,2022,https://www.whats-on-netflix.com/wp-content/uploads/covers/antesundaraniki.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/antesundaraniki.jpeg,TV-14,,"Nazriya Nazim, V.K. Naresh, Azhagam Perumal",Vivek Athreya,Comedy,,150 min,81346056,2022-07-09,"When sparks fly between childhood friends Sundar and Leela, they hatch a plan to persuade their conservative families to accept an interfaith romance.",Telugu
Anthony Jeselnik: Fire in the Maternity Ward,Movie,2019,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZwR7kqD5kS4L-t-9m1-Uoktcm2a_TbqO6TK_40lzReKzKvYD1VIwLiMGNCWqrUDs6-2Mx5f410-rmtL4yQvzdOZMQTjB-3BOA.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZwR7kqD5kS4L-t-9m1-Uoktcm2a_TbqO6TK_40lzReKzKvYD1VIwLiMGNCWqrUDs6-2Mx5f410-rmtL4yQvzdOZMQTjB-3BOA.jpg,TV-MA,SuperHD,Anthony Jeselnik,Marcus Raboy,,7.1/10,64 minutes,80227677,2019-04-30,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",English
Anthony Jeselnik: Thoughts and Prayers,Movie,2015,https://occ-0-116-114.1.nflxso.net/art/419ba/28f2ea30729e82e645f710d9a99ff2853c7419ba.jpg,https://occ-0-116-114.1.nflxso.net/art/419ba/28f2ea30729e82e645f710d9a99ff2853c7419ba.jpg,TV-MA,SuperHD,Anthony Jeselnik,Adam Dubin,,7.8/10,59 minutes,80043049,2015-10-16,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.,English
Antoine Griezmann: The Making of a Legend,Movie,2019,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUOV7ExMYtQgCY375Y_sKdCSbeaYwsNczVkJDTDIKYPmzDyvt3c1iR6C1GQuvfsxD-Dp99m4Ie1uJ3dzYVFbRAdhcO90jiL3pA.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUOV7ExMYtQgCY375Y_sKdCSbeaYwsNczVkJDTDIKYPmzDyvt3c1iR6C1GQuvfsxD-Dp99m4Ie1uJ3dzYVFbRAdhcO90jiL3pA.jpg,TV-PG,SuperHD,,,,6.5/10,60 minutes,81049949,2019-03-21,"With heart and determination, Antoine Griezmann overcame his small stature to become one of the world’s top soccer players and a World Cup champion.",French
Any Crybabies Around? ,Movie,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/anycrybabiesaround.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/anycrybabiesaround.jpeg,TV-MA,,"Taiga Nakano, Riho Yoshioka, Kanichiro, Takashi Yamanaka",Takuma Satô,Drama,,106 min,81413985,2021-03-21,An immature young father in Akita becomes an outcast in his community after a media incident. Two years later he returns to ineptly try to make amends.,Japanese
