title,type,titlereleased,image_landscape,image_portrait,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,language
72 Dangerous Animals: Asia,TV,2018,https://occ-0-114-116.1.nflxso.net/art/fcbf6/6bd484189a636488226370d1ab5775f488dfcbf6.jpg,https://occ-0-114-116.1.nflxso.net/art/fcbf6/6bd484189a636488226370d1ab5775f488dfcbf6.jpg,TV-14,SuperHD,Bob Brisbane,,,6.6/10,,80165437,2018-08-10,"From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",English
72 Dangerous Animals: Latin America,TV,2017,https://occ-0-116-114.1.nflxso.net/art/ea394/984bc5210597ce72e5b8c1627f59449dd5dea394.jpg,https://occ-0-116-114.1.nflxso.net/art/ea394/984bc5210597ce72e5b8c1627f59449dd5dea394.jpg,TV-14,SuperHD,Bob Brisbane,,,6.8/10,,80165247,2017-12-22,"Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",English
7SEEDS,TV,2019,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaIxapLx_30QA169nEWtVtNqkEBkI47OvMeRItriJHr80i1lxxIjRiAbECQI9G8SWz-7yMtHJZPRKDPFsXsSTblQrmLQ3LMCuEH1FOL5CxyDmHNfmU82U1r8E6bceKsDlhSExmD5YddXuvJlwvsY8WMTpzWJ62Y.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaIxapLx_30QA169nEWtVtNqkEBkI47OvMeRItriJHr80i1lxxIjRiAbECQI9G8SWz-7yMtHJZPRKDPFsXsSTblQrmLQ3LMCuEH1FOL5CxyDmHNfmU82U1r8E6bceKsDlhSExmD5YddXuvJlwvsY8WMTpzWJ62Y.jpg,TV-MA,SuperHD,"Nao Toyama, Jun Fukuyama, Katsuyuki Konishi, Yoko Soumi",,,6.3/10,,80183051,2019-06-28,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",English
800 Meters,TV,2022–,https://www.whats-on-netflix.com/wp-content/uploads/covers/800meters.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/800meters.jpeg,TV-MA,,N/A,Elías León,Documentary,,,81275696,2022-03-25,"In 2017, Spain suffered two terrorist attacks perpetrated by young members of its community. How could this happen? This incisive series investigates.",Spanish
A Boy Name Flora A,TV,2017,https://occ-0-116-114.1.nflxso.net/art/4e566/ec4a3926ab124069aacb0dce673e8dae1994e566.jpg,https://occ-0-116-114.1.nflxso.net/art/4e566/ec4a3926ab124069aacb0dce673e8dae1994e566.jpg,TV-MA,SuperHD,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei",,,7.8/10,,80188969,2017-09-01,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,Korean
A Clean Sweep ,TV,2022,https://www.whats-on-netflix.com/wp-content/uploads/covers/acleansweep.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/acleansweep.jpeg,TV-G,,"Lee Seung-yuop, Park Yong-taik, Song Seung-jun, Lee Taek-keun, Jeong Seong-hoon, Shim Soo-chang",N/A,Sport,,120 mins,81614459,2022-08-14,Amateur baseball players go up against legendary pros in a championship to determine the ultimate winning team.,Korean
A House of Blocks,TV,2017,https://occ-0-116-114.1.nflxso.net/art/1dfc2/cf514b8fc96a4a0c41c5e770643d21682aa1dfc2.jpg,https://occ-0-116-114.1.nflxso.net/art/1dfc2/cf514b8fc96a4a0c41c5e770643d21682aa1dfc2.jpg,TV-PG,SuperHD,"Eli Shi, Phoebe Lin, Chen Wan-ting, Ricie Fun",,,,,80189155,2017-09-01,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",Mandarin
A Kidnapping Scandal: The Florence Cassez Affair ,TV,2022,https://www.whats-on-netflix.com/wp-content/uploads/covers/akidnappingscandaltheflorencecassezaffair.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/akidnappingscandaltheflorencecassezaffair.jpeg,TV-MA,,N/A,N/A,"Documentary, Crime",,51 mins,81134165,2022-08-25,Was Florence Cassez the mastermind of a kidnapping ring? Or a victim of corruption? This documentary examines one of Mexico's most controversial cases.,Spanish
A Korean Odyssey,TV,2017,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABVDW4BeDH83t6eAasWcQlrPHcgq9bS8oOZ-fqRblwIkP80X2xTEXiEqAUfC4TXJXmZF0IiWyAgcCSvViW4NpkGugIJP1BEymJA.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABVDW4BeDH83t6eAasWcQlrPHcgq9bS8oOZ-fqRblwIkP80X2xTEXiEqAUfC4TXJXmZF0IiWyAgcCSvViW4NpkGugIJP1BEymJA.jpg,TV-MA,SuperHD,"Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi",,,8.1/10,,80214405,2019-03-05,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,Korean
A Lion in the House ,TV,2006,https://www.whats-on-netflix.com/wp-content/uploads/covers/alioninthehouse.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/alioninthehouse.jpeg,TV-14,SuperHD,"Justin Ashcraft, Adam Ashcraft, Dale Ashcraft, Debbie Ashcraft","Steven Bognar, Julia Reichert",Documentary,,225 min,81284341,2020-11-10,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,English
